paradero;servicio;distancia
PG244;212R;2230
PG245;212R;2429
PG246;212R;2897
PG247;212R;3245
PG196;212R;3664
PG1659;212R;4009
PG1665;212R;4957
PG136;212R;5328
PG1657;212R;5773
PG138;212R;6212
PG139;212R;6632
PE63;212R;7116
PE71;212R;7488
PE112;212R;7861
PE113;212R;8325
PE114;212R;8603
PE66;212R;9181
PE67;212R;9630
PE68;212R;10156
PE69;212R;10480
PE70;212R;10997
PH150;212R;11475
PH151;212R;11918
PH1430;212R;12659
PH17;212R;12875
PH18;212R;13051
PH19;212R;13470
PH1456;212R;13695
PH1491;212R;14012
PH21;212R;14201
PH22;212R;14464
PE1;212R;14996
PE2;212R;15488
PE3;212R;16132
PE4;212R;16526
PE5;212R;16854
PD216;212R;17285
PD147;212R;17776
PD87;212R;18201
PD148;212R;18378
PD149;212R;18687
PD88;212R;18942
PD89;212R;19345
PD1428;212R;19651
PD90;212R;19983
PD91;212R;20216
PD92;212R;20576
PD93;212R;20875
PD94;212R;21181
PD95;212R;21509
PD96;212R;21822
PD97;212R;22033
PD98;212R;22278
PD99;212R;22497
PD100;212R;22849
PD101;212R;23133
PD235;212R;23525
PD103;212R;23681
PD104;212R;23965
PD237;212R;24262
PD106;212R;24603
PC29;212R;25143
PC30;212R;25405
PC31;212R;25664
PC32;212R;26026
PC33;212R;26462
PC34;212R;26787
PC35;212R;27172
PC36;212R;27422
PA698;213eI;83
PA170;213eI;522
PA172;213eI;1217
PA174;213eI;1817
PA177;213eI;2606
PA178;213eI;3127
PA181;213eI;3968
PH209;213eI;5359
PH211;213eI;6255
PH212;213eI;6833
PH214;213eI;7614
PH217;213eI;8786
PE121;213eI;9427
PE125;213eI;10567
PE126;213eI;11310
PE129;213eI;12459
PE132;213eI;13721
PE134;213eI;14451
PE136;213eI;15275
PF169;213eI;16322
PF758;213eI;17023
PF81;213eI;18547
PF85;213eI;19727
PF88;213eI;20654
PF126;213eR;384
PF97;213eR;1660
PF101;213eR;3029
PF759;213eR;4355
PF129;213eR;5319
PE141;213eR;6273
PE143;213eR;6975
PE145;213eR;7668
PE148;213eR;9096
PE151;213eR;10101
PE153;213eR;11001
PE156;213eR;11892
PD193;213eR;12757
PD196;213eR;13803
PD198;213eR;14724
PD199;213eR;15099
PD201;213eR;16017
PD204;213eR;17450
PD207;213eR;18359
PD208;213eR;18905
PC82;213eR;19628
PC84;213eR;20195
PC145;213eR;20886
PH731;214eI;273
PH732;214eI;903
PH1440;214eI;1070
PH1475;214eI;1314
PG271;214eI;1722
PG272;214eI;2176
PG273;214eI;2395
PG410;214eI;2881
PG274;214eI;3125
PH1444;214eI;3362
PH238;214eI;3807
PH1448;214eI;4033
PH239;214eI;4392
PH1445;214eI;4630
PH541;214eI;4848
PH127;214eI;5295
PH129;214eI;5911
PH130;214eI;6275
PH132;214eI;6845
PH134;214eI;7490
PA63;214eI;8473
PA64;214eI;8795
PA65;214eI;9134
PA68;214eI;10259
PA70;214eI;10968
PA722;214eI;11104
PA107;214eI;11792
PA108;214eI;12119
PA716;214eI;12288
PA626;214eI;12795
PA112;214eI;13353
PA161;214eI;13678
PA48;214eR;774
PA51;214eR;2123
PA53;214eR;2808
PA54;214eR;3866
PA55;214eR;4230
PA627;214eR;4386
PA57;214eR;4835
PA60;214eR;5969
PA61;214eR;6356
PA62;214eR;6714
PH111;214eR;7633
PH113;214eR;8309
PH115;214eR;8926
PH117;214eR;9402
PH119;214eR;9964
PH121;214eR;10464
PH221;214eR;10885
PH222;214eR;11226
PH223;214eR;11552
PH224;214eR;11850
PH1447;214eR;11987
PH225;214eR;12206
PH252;214eR;12316
PH1499;214eR;12679
PH1492;214eR;12918
PH1500;214eR;13110
PH1493;214eR;13322
PH1494;214eR;13646
PG1429;214eR;14014
PH676;214eR;14273
PH692;214eR;14547
PH693;214eR;14694
PH309;214eR;14957
PH695;214eR;15164
-;216I;3487
PG888;216I;145
PG889;216I;347
-;216I;3487
PG1746;216I;952
PG239;216I;1119
PG240;216I;1282
PG241;216I;1570
PG242;216I;1813
PG243;216I;1923
PG244;216I;2209
PG245;216I;2408
PG246;216I;2877
PG247;216I;3224
PG196;216I;3643
PG1659;216I;3988
PG1665;216I;4936
PG136;216I;5307
PG1657;216I;5752
PG138;216I;6192
PG139;216I;6611
PE63;216I;7095
PE71;216I;7467
PE112;216I;7840
PE1295;216I;8303
PE187;216I;8488
PE173;216I;9056
PD177;216I;20138
PD218;216I;20456
PD219;216I;20572
PD220;216I;20977
PD178;216I;21293
PD221;216I;21670
PD222;216I;21991
PD180;216I;22115
PD223;216I;22291
PD179;216I;22567
PD181;216I;23341
PD182;216I;23695
PD224;216I;24100
PC89;216I;24761
PC90;216I;24992
PC91;216I;25174
PC92;216I;25706
PC93;216I;26190
PC94;216I;26408
PC95;216I;26652
PC96;216I;27512
PC97;216I;27839
PC98;216I;28137
PC99;216I;28720
PC100;216I;28840
PC101;216R;0
PC102;216R;0
PC103;216R;0
PC104;216R;0
PC105;216R;0
PC752;216R;0
PC106;216R;0
PC107;216R;0
PC108;216R;0
PC109;216R;0
PC110;216R;0
PC111;216R;0
PC112;216R;0
PD1375;216R;0
PD183;216R;0
PD184;216R;0
PD185;216R;0
PD226;216R;0
PD227;216R;0
PD186;216R;0
PD228;216R;0
PD229;216R;0
PD187;216R;53
PD230;216R;476
PD231;216R;710
PD188;216R;1123
PE166;216R;10583
PE167;216R;10992
PE168;216R;11327
PE169;216R;11682
PE170;216R;11831
PE1404;216R;12201
PE120;216R;12805
PG95;216R;12994
PG254;216R;13322
PE1294;216R;13805
PG97;216R;14167
PG1127;216R;14526
PG99;216R;14958
PG1664;216R;15442
PG1667;216R;15884
PG120;216R;16328
PG141;216R;16905
PG142;216R;17178
PG1721;216R;17440
PG143;216R;17619
PG1700;216R;17917
PG255;216R;18096
PG256;216R;18264
PG224;216R;18451
PG257;216R;18658
PG225;216R;18954
PG1684;216R;19124
PG226;216R;19305
PG227;216R;19563
PG228;216R;19714
PG229;216R;19905
PG230;216R;20050
PG231;216R;20230
PG232;216R;20426
PG1280;216R;20651
PG1281;216R;20841
PG1761;216R;21009
PG1757;216R;21258
PG1756;216R;21417
PG1636;217eI;57
PG736;217eI;1032
PG1599;217eI;3285
PA82;217eI;22499
PA190;217eI;23208
PA190;217eR;0
PG1638;217eR;19680
PG975;217eR;21323
PG261;217eR;22547
PG1718;217eR;23530
PG1599;218eI;86
PJ51;218eI;18629
PA191;218eI;20160
PA191;218eR;0
PG1638;218eR;20212
PG1599;218eR;21444
PG1583;219eI;30
PD178;219eI;16968
PD182;219eI;19369
PC54;219eI;20388
PC57;219eI;21677
PC62;219eI;23431
PC65;219eI;24335
PB1561;219eI;27982
PB1562;219eI;28299
PB1560;219eI;28575
-;219eI;1293
PG212;219eITNOC;-1
PD178;219eITNOC;-1
PD182;219eITNOC;-1
PC54;219eITNOC;-1
PC57;219eITNOC;-1
PC62;219eITNOC;-1
PC65;219eITNOC;-1
PB1561;219eITNOC;-1
PB1562;219eITNOC;-1
PB1560;219eITNOC;-1
-;219eITNOC;-1
PB114;219eR;1259
PB101;219eR;2053
PB102;219eR;2446
PB103;219eR;2680
PC66;219eR;6400
PC69;219eR;7336
PC114;219eR;9240
PC77;219eR;10418
PC80;219eR;11547
PD187;219eR;14047
PG212;219eR;33131
PF126;221eI;84
PF759;221eI;4056
PE145;221eI;7368
PE151;221eI;9802
PE153;221eI;10701
PD193;221eI;12457
PD204;221eI;17150
PD208;221eI;18605
PC86;221eI;20591
PA182;221eI;21818
PA183;221eI;22328
PA185;221eI;23272
PA187;221eI;23847
PA16;221eI;24965
PA191;221eI;26390
PA191;221eR;-1
PI340;221eR;-1
PI341;221eR;-1
PI343;221eR;-1
PA164;221eR;-1
PA165;221eR;-1
PA167;221eR;-1
PA168;221eR;-1
PA170;221eR;-1
PA177;221eR;-1
PA181;221eR;-1
PH217;221eR;-1
PE125;221eR;-1
PE126;221eR;-1
PE132;221eR;-1
PF758;221eR;-1
PF88;221eR;-1
PF94;222eI;160
PF97;222eI;1360
PF101;222eI;2729
PF759;222eI;4056
PF129;222eI;5019
PE141;222eI;5973
PE143;222eI;6676
PE145;222eI;7368
PE148;222eI;8796
PE151;222eI;9802
PE153;222eI;10701
PE157;222eI;11942
PH1455;222eI;13591
PH29;222eI;14752
PH32;222eI;15814
PH35;222eI;16640
PH37;222eI;17209
PA82;222eI;24229
PA193;222eI;24765
PA193;222eR;0
PH8;222eR;7583
PH10;222eR;8203
PH13;222eR;9132
PH1430;222eR;10153
PH1456;222eR;11189
PE121;222eR;13074
PE124;222eR;13975
PE126;222eR;14958
PE129;222eR;16107
PE132;222eR;17369
PE134;222eR;18099
PE136;222eR;18923
PF169;222eR;19969
PF758;222eR;20671
PF81;222eR;22195
PF85;222eR;23374
PF88;222eR;24302
PB114;223I;1259
PB115;223I;1636
PB101;223I;2049
PB102;223I;2444
PB103;223I;2676
PB104;223I;2852
PB105;223I;3510
PB106;223I;3685
PB677;223I;4016
PB678;223I;4518
PB680;223I;4819
PB681;223I;5074
PB683;223I;5376
PB344;223I;5693
PB345;223I;5947
PB346;223I;6136
PB347;223I;6477
PB348;223I;6768
PB1616;223I;7186
PB350;223I;7350
PB351;223I;7568
PB352;223I;7892
PB353;223I;8172
PB354;223I;8430
PB355;223I;8679
PB356;223I;8947
PB357;223I;9073
PB193;223I;9326
PB194;223I;9591
PB195;223I;10036
PB196;223I;10358
PB259;223I;10728
PB198;223I;10942
PB199;223I;11216
PB200;223I;11655
PB201;223I;11853
PB202;223I;12161
PB203;223I;12553
PB264;223I;12808
PB265;223I;13032
PB205;223I;13275
PB206;223I;13528
PB207;223I;13828
PB268;223I;14014
PB269;223I;14379
PB209;223I;14627
PB210;223I;14998
PA48;223I;15257
PA49;223I;16137
PA50;223I;16281
PA51;223I;16607
PA52;223I;16986
PA53;223I;17292
PA30;223I;17748
PA31;223I;18049
PA54;223I;18349
PA55;223I;18713
PA627;223I;18869
PA56;223I;19116
PA57;223I;19319
PA58;223I;19785
PA694;223I;20027
PA60;223I;20453
PA61;223I;20839
PA62;223I;21197
PH110;223I;21637
PH111;223I;22116
PH112;223I;22339
PH113;223I;22792
PH114;223I;23056
PH115;223I;23409
PH117;223I;23885
PH118;223I;24152
PH119;223I;24447
PH121;223I;24947
PH122;223I;25353
PH123;223I;25626
PG1;223I;26093
PG2;223I;26312
PG3;223I;26723
PG4;223I;26982
PG5;223I;27271
PG6;223I;27555
PG7;223I;27871
PG8;223I;28304
PG9;223I;28858
PG249;223I;29148
PG250;223I;29433
PG415;223I;29901
PG416;223I;30330
PG417;223I;30660
PH233;223I;31172
PH234;223I;31698
PH235;223I;32005
PH236;223I;32355
PH237;223R;297
PG265;223R;734
PG266;223R;1252
PG411;223R;1678
PG412;223R;1938
PG413;223R;2380
PG251;223R;2764
PG252;223R;3225
PG59;223R;3590
PG61;223R;4182
PG62;223R;4693
PG63;223R;4836
PG64;223R;5138
PG65;223R;5441
PG66;223R;5728
PG67;223R;6130
PG68;223R;6357
PG69;223R;6794
PH124;223R;7184
PH125;223R;7561
PH126;223R;7881
PH127;223R;8060
PH128;223R;8373
PH129;223R;8675
PH130;223R;9040
PH131;223R;9308
PH132;223R;9610
PH133;223R;9982
PH134;223R;10255
PH135;223R;10791
PA63;223R;11237
PA64;223R;11560
PA65;223R;11898
PA66;223R;12298
PA67;223R;12676
PA68;223R;13024
PA69;223R;13465
PA70;223R;13733
PA72;223R;14043
PA717;223R;14500
PA212;223R;14682
PA720;223R;15037
PA218;223R;15367
PA718;223R;15863
PA719;223R;16238
PA87;223R;16891
PB211;223R;17192
PB212;223R;17390
PB213;223R;17745
PB214;223R;18105
PB271;223R;18353
PB215;223R;18635
PB216;223R;18976
PB217;223R;19227
PB272;223R;19475
PB273;223R;19726
PB219;223R;19935
PB220;223R;20228
PB221;223R;20562
PB277;223R;21106
PB278;223R;21304
PB224;223R;21529
PB280;223R;21875
PB281;223R;22191
PB227;223R;22536
PB283;223R;22871
PB1708;223R;23277
PB360;223R;23467
PB361;223R;23608
PB362;223R;23848
PB363;223R;24098
PB364;223R;24269
PB365;223R;24519
PB366;223R;24724
PB367;223R;24990
PB368;223R;25141
PB369;223R;25477
PB370;223R;25809
PB1637;223R;26105
PB720;223R;26454
PB721;223R;26650
PB722;223R;26916
PB723;223R;27157
-;223R;3273
PB725;223R;27560
PB726;223R;27783
PB728;223R;28299
PB729;223R;28583
PB730;223R;28907
PB111;223R;29120
PB112;223R;29304
PB1561;223R;29904
PB1562;223R;30221
PB1560;223R;30497
-;223R;3273
-;223R;3273
PD76;224I;186
PD77;224I;562
PD78;224I;961
PD1348;224I;1214
PD58;224I;1495
PD59;224I;1784
PD60;224I;2015
PD61;224I;2313
PD62;224I;2793
PD63;224I;2992
PD64;224I;3292
PD65;224I;3601
PD66;224I;3906
PD67;224I;4235
PD68;224I;4572
PD1449;224I;4836
PD69;224I;5112
PD70;224I;5460
PD71;224I;5851
PD72;224I;6169
PD73;224I;6435
PD1417;224I;6683
PD74;224I;7046
PD130;224I;7387
PD1;224I;8000
PD2;224I;8298
PD1161;224I;8761
PD1320;224I;9503
PH217;224I;9820
PE121;224I;10461
PE122;224I;10824
PE123;224I;11152
PE124;224I;11362
PE125;224I;11600
PE126;224I;12344
PE1276;224I;13028
PE190;224I;13327
PE191;224I;13530
PE192;224I;14037
PE884;224I;14197
PE83;224I;14644
PE84;224I;15008
PE85;224I;15503
PE86;224I;15890
PE87;224I;16289
PE1320;224I;16592
PE88;224I;16841
PE89;224I;17241
PE90;224I;17647
PF51;224I;18001
PF52;224I;18339
PF53;224I;18601
PF54;224I;18928
PF55;224I;19159
PF56;224I;19497
PF57;224I;19766
PF58;224I;19997
PF59;224I;20230
PF60;224I;20524
PD76;224IPM;-1
PD77;224IPM;-1
PD78;224IPM;-1
PD79;224IPM;-1
PD80;224IPM;-1
PD81;224IPM;-1
PD82;224IPM;-1
PD83;224IPM;-1
PD84;224IPM;-1
PD63;224IPM;-1
PD64;224IPM;-1
PD65;224IPM;-1
PD66;224IPM;-1
PD67;224IPM;-1
PD68;224IPM;-1
PD1449;224IPM;-1
PD69;224IPM;-1
PD70;224IPM;-1
PD71;224IPM;-1
PD72;224IPM;-1
PD73;224IPM;-1
PD1417;224IPM;-1
PD74;224IPM;-1
PD130;224IPM;-1
PD1;224IPM;-1
PD2;224IPM;-1
PD1161;224IPM;-1
PD1320;224IPM;-1
PH217;224IPM;-1
PE121;224IPM;-1
PE122;224IPM;-1
PE123;224IPM;-1
PE124;224IPM;-1
PE125;224IPM;-1
PE126;224IPM;-1
PE1276;224IPM;-1
PE190;224IPM;-1
PE191;224IPM;-1
PE192;224IPM;-1
PE884;224IPM;-1
PE83;224IPM;-1
PE84;224IPM;-1
PE85;224IPM;-1
PE86;224IPM;-1
PE87;224IPM;-1
PE1320;224IPM;-1
PE88;224IPM;-1
PE89;224IPM;-1
PE90;224IPM;-1
PF51;224IPM;-1
PF52;224IPM;-1
PF53;224IPM;-1
PF54;224IPM;-1
PF55;224IPM;-1
PF56;224IPM;-1
PF57;224IPM;-1
PF58;224IPM;-1
PF59;224IPM;-1
PF60;224IPM;-1
PD1320;224NI;28
PH217;224NI;344
PE121;224NI;985
PE122;224NI;1349
PE123;224NI;1676
PE124;224NI;1886
PE125;224NI;2125
PE126;224NI;2869
PE1276;224NI;3552
PE190;224NI;3851
PE191;224NI;4054
PE192;224NI;4562
PE884;224NI;4722
PE83;224NI;5168
PE84;224NI;5532
PE85;224NI;6027
PE86;224NI;6414
PE87;224NI;6813
PE1320;224NI;7116
PE88;224NI;7365
PE89;224NI;7765
PE90;224NI;8172
PF51;224NI;8526
PF52;224NI;8863
PF53;224NI;9125
PF54;224NI;9452
PF55;224NI;9683
PF56;224NI;10021
PF57;224NI;10291
PF58;224NI;10522
PF59;224NI;10754
PF60;224NI;11049
PF62;224NR;322
PF63;224NR;606
PF843;224NR;828
PF64;224NR;1007
PF65;224NR;1382
PF66;224NR;1685
PF67;224NR;1971
PF68;224NR;2254
PF69;224NR;2575
PE91;224NR;2908
PE92;224NR;3291
PE1384;224NR;3698
PE93;224NR;3897
PE94;224NR;4233
PE95;224NR;4649
PE96;224NR;5040
PE97;224NR;5493
PE222;224NR;5701
PE98;224NR;5896
PE99;224NR;6299
PE100;224NR;6598
PE181;224NR;6963
PE182;224NR;7207
PE183;224NR;7796
PE193;224NR;7917
PE153;224NR;8468
PE155;224NR;9019
PE156;224NR;9359
PE157;224NR;9710
PE1385;224NR;10033
PF62;224R;322
PF63;224R;606
PF843;224R;828
PF64;224R;1007
PF65;224R;1382
PF66;224R;1685
PF67;224R;1971
PF68;224R;2254
PF69;224R;2575
PE91;224R;2908
PE92;224R;3291
PE1384;224R;3698
PE93;224R;3897
PE94;224R;4233
PE95;224R;4649
PE96;224R;5040
PE97;224R;5493
PE222;224R;5701
PE98;224R;5896
PE99;224R;6299
PE100;224R;6598
PE181;224R;6963
PE182;224R;7207
PE183;224R;7796
PE193;224R;7917
PE153;224R;8468
PE155;224R;9019
PE156;224R;9359
PE157;224R;9710
PE1385;224R;10033
PE2;224R;10358
PE3;224R;11002
PE4;224R;11395
PE5;224R;11724
PD216;224R;12155
PD147;224R;12646
PD87;224R;13071
PD148;224R;13248
PD149;224R;13556
PD88;224R;13812
PD89;224R;14215
PD1428;224R;14521
PD90;224R;14853
PD91;224R;15085
PD92;224R;15446
PD93;224R;15745
PD94;224R;16051
PD95;224R;16379
PD96;224R;16692
PD97;224R;16903
PD98;224R;17148
PD99;224R;17367
PD100;224R;17718
PD101;224R;18003
PD235;224R;18395
PD103;224R;18550
PD237;224R;19132
PE126;224cI;245
PE1276;224cI;924
PE190;224cI;1223
PE191;224cI;1425
PE192;224cI;1933
PE884;224cI;2093
PE83;224cI;2539
PE84;224cI;2903
PE85;224cI;3398
PE86;224cI;3785
PE87;224cI;4185
PE1320;224cI;4487
PE88;224cI;4737
PE89;224cI;5136
PE90;224cI;5543
PF51;224cI;5897
PF52;224cI;6234
PF53;224cI;6496
PF54;224cI;6823
PF55;224cI;7054
PF56;224cI;7393
PF57;224cI;7662
PF58;224cI;7893
PF59;224cI;8125
PF60;224cI;8420
PF62;224cR;322
PF63;224cR;606
PF843;224cR;828
PF64;224cR;1007
PF65;224cR;1382
PF66;224cR;1685
PF67;224cR;1971
PF68;224cR;2254
PF69;224cR;2575
PE91;224cR;2908
PE92;224cR;3291
PE1384;224cR;3698
PE93;224cR;3897
PE94;224cR;4233
PE95;224cR;4649
PE96;224cR;5040
PE97;224cR;5493
PE222;224cR;5701
PE98;224cR;5896
PE99;224cR;6299
PE100;224cR;6598
PE182;224cR;7207
PE183;224cR;7795
PE193;224cR;7916
PC144;225I;52
PC115;225I;839
PC293;225I;1088
PC116;225I;1465
PC1104;225I;1857
PC117;225I;2045
PC118;225I;2516
PC119;225I;2715
PC120;225I;2945
PC121;225I;3507
PC122;225I;3760
PC1062;225I;4247
PC123;225I;4492
PC124;225I;4745
PC125;225I;5406
PC443;225I;5554
PC126;225I;5910
PC127;225I;6123
PC128;225I;6452
PD1380;225I;6735
PD238;225I;6940
PD239;225I;7293
PD240;225I;7482
PD241;225I;7932
PD242;225I;8274
PD243;225I;8545
PD244;225I;8839
PD245;225I;9074
PD246;225I;9278
PD247;225I;9501
PD248;225I;9744
PD249;225I;10025
PD250;225I;10427
PD251;225I;10632
PD252;225I;10887
PD253;225I;11126
PD254;225I;11546
PD255;225I;11879
PD1379;225I;12135
PD256;225I;12483
PD257;225I;12679
PD258;225I;12865
PD1373;225I;12995
PD259;225I;13130
PD260;225I;13312
PD657;225I;13616
PD261;225I;13922
PD262;225I;14236
PD263;225I;14510
PD188;225I;14958
PD189;225I;15727
PD265;225I;16215
PD266;225I;16509
PD190;225I;16989
PD267;225I;17299
PD191;225I;17858
PD268;225I;18456
PD269;225I;18882
PD270;225I;19999
PD130;225I;20433
PE158;225I;21206
PE159;225I;21465
PE1296;225I;21800
PE160;225I;22094
PE126;225I;22710
PE1276;225I;23394
PE1275;225I;23802
PE1273;225I;24232
PE1345;225I;24773
PE657;225I;24998
PE658;225I;25251
PE1344;225I;25482
PE659;225I;25724
PE660;225I;26049
PE85;225I;26489
PE197;225I;26680
PE198;225I;26939
PE199;225I;27138
PE200;225I;27375
PE201;225I;27549
PE202;225I;28131
PE203;225I;28386
PE204;225I;28544
PE205;225I;28786
PE206;225I;28959
PE207;225I;29130
PG275;225I;29238
PG276;225I;29430
PG277;225I;29686
PE1330;225I;29884
PE209;225I;30176
PE210;225I;30499
PE1305;225I;30752
PF166;225I;31101
PF267;225R;161
PF781;225R;346
PF794;225R;682
PF869;225R;895
PF827;225R;1197
PF164;225R;1412
PF165;225R;1670
PE211;225R;1799
PE212;225R;2133
PE213;225R;2367
PE214;225R;2561
PE215;225R;2930
PE216;225R;3155
PE217;225R;3475
PE218;225R;3706
PE219;225R;4160
PE220;225R;4351
PE221;225R;4561
PE796;225R;4904
PE96;225R;5295
PE97;225R;5747
PE685;225R;5810
PE686;225R;6087
PE1343;225R;6342
PE687;225R;6542
PE688;225R;6837
PE689;225R;7054
PE1367;225R;7504
PE1274;225R;7985
PE149;225R;8280
PE150;225R;8622
PE151;225R;9056
PE152;225R;9475
PE184;225R;9702
PE185;225R;10277
PE186;225R;10650
PD216;225R;11208
PD273;225R;11485
PD274;225R;11862
PD173;225R;12195
PD275;225R;12586
PD276;225R;12757
PD277;225R;13004
PD278;225R;13179
PD174;225R;13529
PD1356;225R;13765
PD279;225R;14154
PD283;225R;14326
PD175;225R;14841
PD280;225R;15273
PD281;225R;15461
PD282;225R;15656
PD176;225R;15822
PD284;225R;16233
PD285;225R;16450
PD177;225R;16734
PD218;225R;17047
PD219;225R;17165
PD286;225R;17475
PD287;225R;17827
PD288;225R;18153
PD289;225R;18396
PD290;225R;18588
PD291;225R;18717
PD292;225R;18892
PD293;225R;19149
PD294;225R;19535
PD271;225R;19876
PD1382;225R;20328
PD295;225R;20581
PD296;225R;20888
PD297;225R;21144
PD298;225R;21325
PD299;225R;21663
PD300;225R;21960
PD301;225R;22084
PD302;225R;22398
PD303;225R;22671
PD304;225R;22962
PD305;225R;23152
PD306;225R;23425
PD307;225R;23767
PD308;225R;24136
PD309;225R;24334
PD310;225R;24686
PD311;225R;25108
PC129;225R;25490
PC130;225R;25735
PC131;225R;26103
PC132;225R;26268
PC133;225R;26908
PC134;225R;27136
PC135;225R;27296
PC136;225R;27640
PC137;225R;27961
PC139;225R;28719
PC140;225R;29123
PC141;225R;29615
PC142;225R;29886
PC143;225R;30193
PA158;226I;65
PA89;226I;624
PA90;226I;879
PA91;226I;1320
PA29;226I;2421
PA196;226I;2653
PA197;226I;2928
PA55;226I;3168
PA627;226I;3324
PA56;226I;3570
PA57;226I;3773
PA58;226I;4239
PA694;226I;4482
PA60;226I;4907
PA61;226I;5293
PA62;226I;5652
PH110;226I;6091
PH111;226I;6570
PH112;226I;6794
PH113;226I;7246
PH114;226I;7510
PH115;226I;7864
PH117;226I;8340
PH118;226I;8606
PH119;226I;8902
PH120;226I;9134
PH121;226I;9401
PH122;226I;9807
PH799;226I;10050
PH790;226I;10431
PG278;226I;10622
PG279;226I;11036
PG280;226I;11200
PG281;226I;11478
PG282;226I;11692
PG283;226I;11908
PG284;226I;12130
PG285;226I;12331
PG286;226I;12586
PG287;226I;12840
PG1723;226I;13080
PE226;226I;13313
PE1351;226I;13558
PE1350;226I;13910
PE1346;226I;14174
PE227;226I;14403
PE228;226I;14636
PE1347;226I;14846
PE74;226I;15018
PE229;226I;15272
PE230;226I;15532
PE738;226I;15972
PE231;226I;16205
PE232;226I;16426
PE233;226I;16610
PE234;226I;16892
PE303;226I;17289
PE236;226I;17601
PE202;226I;17850
PE203;226I;18105
PE204;226I;18264
PE205;226I;18506
PE237;226I;18829
PE238;226I;19009
PE239;226I;19278
PE240;226I;19500
PE241;226I;19884
PE242;226I;20165
PE243;226I;20396
PE244;226I;20683
PE1342;226I;20915
PE847;226I;21351
PE848;226I;21739
PE849;226I;22084
PE850;226I;22326
PE851;226I;22629
PF745;226I;23245
PF746;226I;23429
PF744;226I;23829
PF142;226I;24446
PF143;226I;24591
PF144;226I;24890
PF145;226I;25156
PF146;226I;25364
PF42;226I;25742
PF43;226I;26080
PF44;226I;26368
PF45;226I;26560
PF46;226I;26834
PF47;226I;27048
PF48;226I;27313
PF147;226I;27531
PF148;226I;27872
PF839;226I;28112
PF149;226I;28332
PF150;226I;28583
PF151;226I;28742
PF152;226R;189
PF153;226R;543
PF840;226R;791
PF984;226R;1078
PF155;226R;1346
PF156;226R;1573
PF157;226R;1823
PF19;226R;2049
PF20;226R;2295
PF21;226R;2501
PF22;226R;2778
PF23;226R;3132
PF158;226R;3732
PF159;226R;3994
PF160;226R;4328
PF161;226R;4607
PF747;226R;4735
PF748;226R;5180
PF824;226R;5579
PF770;226R;5923
PF764;226R;6287
PE854;226R;6745
PE852;226R;7142
PE853;226R;7390
PE1264;226R;7896
PE247;226R;8083
PE248;226R;8391
PE249;226R;8655
PE250;226R;8953
PE251;226R;9186
PE252;226R;9531
PE253;226R;9896
PE254;226R;10107
PE255;226R;10275
PE256;226R;10551
PE218;226R;10789
PE257;226R;11004
PE258;226R;11217
PE259;226R;11385
PE260;226R;11567
PE261;226R;11890
PE262;226R;12270
PE263;226R;12436
PE264;226R;12672
PE265;226R;12820
PE266;226R;13149
PE267;226R;13493
PE268;226R;13748
PE269;226R;14029
PE108;226R;14384
PE270;226R;14646
PE271;226R;14861
PE272;226R;15145
PH241;226R;15399
PH242;226R;15680
PH243;226R;15961
PH244;226R;16230
PH245;226R;16595
PH246;226R;17019
PH247;226R;17352
PH248;226R;17779
PH249;226R;18000
PH124;226R;18391
PH125;226R;18768
PH126;226R;19087
PH127;226R;19266
PH128;226R;19580
PH129;226R;19882
PH130;226R;20246
PH131;226R;20514
PH132;226R;20816
PH133;226R;21189
PH134;226R;21461
PH135;226R;21998
PA63;226R;22444
PA64;226R;22766
PA65;226R;23105
PA66;226R;23505
PA67;226R;23882
PA68;226R;24230
PA69;226R;24671
PA70;226R;24939
PA722;226R;25075
PA107;226R;25763
PA108;226R;26090
PA716;226R;26259
PA156;226R;26650
PA114;226R;26917
PA159;226R;27194
PA160;226R;27454
PA161;226R;27649
PD1391;227I;546
PD313;227I;921
PD314;227I;1194
PD315;227I;1446
PD316;227I;1726
PD317;227I;2131
PD318;227I;2620
PD319;227I;2991
PD320;227I;3367
PD321;227I;3630
PD322;227I;4002
PD323;227I;4348
PD324;227I;4599
PD325;227I;4977
PD326;227I;5246
PD327;227I;5615
PA199;227I;6193
PA200;227I;6648
PA178;227I;7307
PA179;227I;7528
PA180;227I;7869
PA697;227I;8012
PA202;227I;8225
PA203;227I;8580
PA204;227I;8914
PA205;227I;9293
PA144;227I;9864
PA145;227I;10170
PH183;227I;10954
PH184;227I;11217
PH185;227I;11563
PH186;227I;12017
PH187;227I;12461
PH188;227I;12828
PH189;227I;13103
PH190;227I;13629
PH191;227I;14146
PH192;227I;14352
PH193;227I;14700
PH194;227I;15139
PG90;227I;15766
PG1466;227I;15940
PG1609;227I;16129
PG288;227I;16394
PH245;227I;16915
PH246;227I;17339
PH247;227I;17672
PH248;227I;18099
PH249;227I;18320
PH250;227I;18720
PH251;227I;19221
PH252;227I;19550
PH253;227I;19948
PH254;227I;20165
PH255;227I;20477
PH1438;227R;162
PH256;227R;306
PH257;227R;479
PH258;227R;734
PH259;227R;1048
PG274;227R;1332
PG289;227R;1560
PG278;227R;1930
PG279;227R;2344
PG280;227R;2508
PG281;227R;2786
PG282;227R;3000
PG283;227R;3216
PG284;227R;3438
PG285;227R;3639
PG286;227R;3894
