paradas;servicios
PJ866;J08R
PJ855;J08I
PJ856;J08I
PJ869;J08R
PJ868;J08R
PJ870;J08R
PJ1784;J01I-J19I
PJ1048;J07I-J17R
PJ1049;J17I
PJ627;111I-510R-510cR-516R-J01R-J08R-J14cI-J19R-J19RPM-J19cR
PJ819;514R-514RPM-514RPT-J02I-J07eI
PJ638;504I-507I-514R-514RPM-514RPT-J02I-J07eI
PJ639;504I-507I-514R-514RPM-514RPT-J02I-J07eI
PJ818;J02I-J18I
PJ817;514I-514IPM-J02R-J07I-J07cI
PJ682;514I-514IPM-J02R-J07I-J07cI
PJ681;504R-507R-514I-514IPM-J02R-J07I-J07cI
PJ1620;418I-418R-418RPT-422I-422IPM-422R
PJ1721;407R-418R-418RPT-422R-508R-508RPT-514R-514RPM-514RPT-J07I-J07eI-J10R
PJ1602;407R-508R-508RPT-J07I-J07cI-J18I
PJ1603;407I-J07eI-J18R
PJ1722;407I-514I-514IPM-J10I
PJ1720;407I-508I-508IPM-J07eI-J18R
PJ794;428R-428RN-J07I-J07cI
PJ846;428R-428RN-J07eI
PJ372;507R-J02R
PJ680;J02R
PJ679;J02R
PJ678;J02R
PJ677;J02R-J18R-J18cR
PJ676;J02R-J18R-J18cR
PJ675;J02R-J18R-J18cR
PJ674;J02R-J18R-J18cR
PJ640;J02I
PJ641;J02I
PJ642;J02I
PJ643;J02I
PJ428;507I-J02I
PJ644;J02I-J18I-J18cI
PJ645;J02I-J18I-J18cI
PJ646;J02I-J18I-J18cI
PJ1725;J02I-J18I-J18cI
PJ205;418I-503I-503IPM-514I-514IPM-J17R
P1787;J01I-J19I
PJ542;424I-J01I-J19I-J19cI
PJ543;424I-J01I-J19I-J19cI
PJ816;503I-503IPM-514I-514IPM-J17R
PJ201;418I-J18R-J18cR
PJ231;418R-418RPT-J18I-J18cI
PJ1764;J19R-J19RPM-J19cR
PJ1765;J19R-J19RPM-J19cR
PJ1606;J07I
PJ801;J07I
PJ836;J07eI
PJ1605;J07eI
PJ917;J10I
PJ918;J10I
PJ916;J10I
PJ919;J10I
PJ935;J10R
PJ933;J10R
PJ932;J10R
PJ934;J10R
PJ634;424R-J01R-J08I-J19R-J19RPM-J19cR
PJ1736;424R-J01R
PJ633;424R-J01R-J08I-J19R-J19RPM-J19cR
PJ632;424R-J01R-J19R-J19RPM-J19cR
PJ635;424R-J01R-J19R-J19RPM-J19cR
PJ544;424I-J01I-J19I-J19cI
PJ545;424I-J01I-J08R-J19I-J19cI
PJ546;424I-J01I-J19I-J19cI
PJ547;424I-J01I-J19I-J19cI
PJ548;424I-J01I-J19I-J19cI
PJ852;J08I
PJ1732;J08cR
PJ1733;J08cR
PJ853;J08I
PJ996;511R-J06R-J15cR
PJ995;511R-J06R-J15cR
PJ1555;J02R-J18R-J18cR
PJ1051;J02I-J18I-J18cI
PJ1052;514I-514IPM-J18I
PJ1796;504I-507I
PJ1670;504R-507R-508R-508RPT-514R-514RPM-514RPT-J18R
PJ1801;514I-514IPM-J18R
PJ1686;514R-514RPM-514RPT-J18R
PJ1054;504R-507R-514R-514RPM-514RPT-J18R
PJ1797;504I-507I
PJ1055;504I-507I-514I-514IPM-J18I
PJ1766;508R-508RPT-J18I
PJ1056;508R-508RPT-J18I
PJ1724;508I-508IPM-J18R
PJ1723;508I-508IPM-J18R
PJ1057;J17R
PJ1058;J17R
PJ1059;J17R
PJ1569;J10I
PJ1560;J17I
PJ1559;J17I
PJ1601;J17I
PJ1600;J17I
PJ1588;B09I
PJ1589;B09I
PJ1626;J12I
PJ1627;J12I
PJ1623;J12I
PJ1624;J12R
PJ1622;J12R
PJ1621;J12R
PJ1625;J12R
PJ1656;J07I
PJ1655;J07I
PJ1758;J07I
PJ1653;J07I
PJ1652;J07I
PJ1660;J07I
PJ1658;J07eI
PJ1657;J07eI
PJ1759;J07eI
PJ1654;J07eI
PJ1659;J07eI
PJ1749;J07eI-J11R-J12I
PJ1662;J07I-J11R-J12I
PJ1750;J11I-J12R
PJ1661;J07I-J11I-J12R
PJ1663;J07I
PJ1664;J07I
PJ1639;J07I
PJ811;J07I
PJ1787;J07I
PJ1592;J07I
PJ812;J07I
PJ813;J07I
PJ814;J07I
PJ815;J07I
PJ1637;J07I
PJ827;J07eI
PJ826;J07eI
PJ1788;J07eI
PJ1593;J07eI
PJ825;J07eI
PJ824;J07eI
PJ823;J07eI
PJ822;J07eI
PJ1638;J07eI
PJ949;J12I
PJ950;J12R
PJ951;J12R
PJ1798;504R-507R
PJ1799;504I-507I
PJ1800;504R-507R
PJ1814;J18cR
PJ1591;J07eI
PJ1635;J07eI
PJ829;J07eI
PJ828;J07eI
PJ1634;J07eI
PJ808;J07I
PJ1633;J07I
PJ810;J07I
PJ1636;J07I
PJ809;J07I
PJ695;J04I-J04cI-J13R-J13cR
PJ694;J04I-J04cI
PJ696;J04I-J04cI-J13I-J13cI
PJ521;508R-508RPT-J03I
PJ520;508R-508RPT-J03I-J13I-J13cI
PJ519;508R-508RPT-J03I
PJ518;508R-508RPT-J03I
PJ522;508R-508RPT-J03I
PJ516;508R-508RPT-J03I
PJ515;508R-508RPT-J03I
PJ514;508R-508RPT-J03I
PJ488;508I-508IPM-J03I
