101I|L-12-24-15-NS|PI1243|25059|
101R|L-12-24-15-SN|PI883|164|
101R|L-12-24-10-SN|PI884|453|
101R|L-12-24-25-SN|PI1646|726|
101R|L-12-13-4-PO|PI1644|936|
101R|L-12-13-6-PO|PI1636|1188|
101R|L-12-13-10-PO|PI889|1496|
101R|L-12-13-15-PO|PI890|1810|
101R|L-12-13-20-PO|PI891|2000|
101R|L-12-13-25-PO|PI892|2267|
101R|L-12-11-15-SN|PI26|2455|
101R|L-12-11-10-SN|PI27|2656|
101R|L-12-11-5-SN|PI28|2968|
101R|L-12-25-60-OP|PI29|3189|
101R|L-12-25-50-OP|PI30|3529|
101R|L-12-25-40-SN|PI31|3787|
101R|L-12-25-35-SN|PI32|4036|
101R|L-12-25-30-SN|PI33|4344|
101R|L-12-25-20-SN|PI1441|4549|
101R|L-12-25-15-SN|PI34|4759|
101R|T-12-375-SN-2|PI1419|5278|
101R|T-12-375-SN-5|PI35|5601|
101R|L-12-25-10-SN|PI36|5738|
101R|L-12-25-5-SN|PI37|6129|
101R|T-7-48-PO-5|PI38|6372|
101R|T-7-48-PO-10|PI39|6581|
101R|T-7-48-PO-15|PI40|6791|
101R|T-7-48-PO-20|PI41|7130|
101R|T-7-48-PO-25|PI42|7357|
101R|T-7-48-PO-30|PI43|7610|
101R|T-7-48-PO-35|PI44|7898|
101R|T-7-52-SN-25|PI45|8420|
101R|E-7-52-SN-30|PI46|8892|
101R|T-7-52-SN-35|PI47|9499|
101R|T-7-52-SN-40|PI48|9791|
101R|T-8-52-SN-5|PJ19|10124|
101R|T-8-52-SN-10|PJ20|10409|
101R|T-8-52-SN-15|PJ21|10684|
101R|T-8-74-SN-5|PJ22|11012|
101R|T-8-74-SN-10|PJ23|11269|
101R|E-8-74-SN-15|PJ24|11603|
101R|T-8-74-SN-20|PJ25|12046|
101R|T-8-70-SN-2|PJ26|12525|
101R|T-8-70-SN-3|PJ27|12835|
101R|T-8-70-SN-5|PJ28|13284|
101R|T-8-65-SN-5|PJ29|13697|
101R|T-8-65-SN-10|PJ30|14028|
101R|T-8-65-SN-15|PJ31|14447|
101R|T-8-65-SN-20|PJ32|14660|
101R|E-5-38-SN-5|PB25|15484|
101R|T-5-38-PO-3|PB26|15731|
101R|T-5-38-PO-5|PB27|16149|
101R|T-5-38-PO-10|PB28|16535|
101R|T-5-38-PO-20|PB29|17286|
101R|E-5-38-PO-30|PB31|17734|
101R|T-1-1-PO-5|PB32|18293|
101R|T-1-1-PO-15|PB1586|18731|
101R|T-2-9-PO-10|PB35|19038|
101R|T-2-9-PO-15|PB36|19412|
101R|T-2-9-PO-20|PB37|19779|
101R|T-2-9-PO-25|PB38|20192|
101R|T-4-9-PO-10|PB40|20588|
101R|T-4-9-PO-12|PB41|20893|
101R|T-4-9-PO-15|PB42|21098|
101R|T-4-9-PO-20|PB43|21390|
101R|E-4-9-PO-25|PB44|21578|
