service;origin;destiny;color;color_id
E18;HOSPITAL PADRE HURTADO ; (M) BELLAVISTA DE LA FLORIDA;00B33C;1
F01;VILLA PADRE HURTADO ; CASAS VIEJAS;FFD400;1
F01c;(M) PLAZA PUENTE ALTO ; CASAS VIEJAS;FFD400;1
F02;PIE ANDINO ; SAN GERóNIMO;FFD400;1
F03;(M) PLAZA PUENTE ALTO ; PLAZA SAN BERNARDO;FFD400;1
F03c;PIE ANDINO ; VILLA LAS MAMIñAS;FFD400;1
F05;(M) LA CISTERNA ; PIE ANDINO;FFD400;1
F06;(M) LA CISTERNA ; PIE ANDINO;FFD400;1
F07;MALL PLAZA TOBALABA ; VILLA PADRE HURTADO;FFD400;1
F08;VILLA PADRE HURTADO ; DIEGO PORTALES;FFD400;1
F09;PIE ANDINO ; (M) ELISA CORREA;FFD400;1
F10;SAN GUILLERMO ; MALL PLAZA TOBALABA;FFD400;1
F11;LAS VIZCACHAS ; PIE ANDINO;FFD400;1
F12;BAJOS DE MENA ; (M) PLAZA PUENTE ALTO;FFD400;1
F12c;AV. JUANITA ; (M) PLAZA PUENTE ALTO ;FFD400;1
F13;BAJOS DE MENA ; MALL PLAZA TOBALABA;FFD400;1
F13c;BAJOS DE MENA ; (M) PLAZA PUENTE ALTO;FFD400;1
F14;VILLA PADRE HURTADO ; (M) PLAZA PUENTE ALTO;FFD400;1
F15;BAJOS DE MENA ; (M) ELISA CORREA;FFD400;1
F16;VILLA PADRE HURTADO ; RIVERA RIO MAIPO;FFD400;1
F17;(M) PLAZA PUENTE ALTO ; CASAS VIEJAS;FFD400;1
F18;VILLA CHILOé ; (M) PLAZA PUENTE ALTO;FFD400;1
F19;PIE ANDINO ; MALL PLAZA TOBALABA;FFD400;1
F20;(M) LA CISTERNA ; PIE ANDINO;FFD400;1
F21;PIE ANDINO ; VILLA LA PRIMAVERA;FFD400;1
F22;PIE ANDINO ; EL TRANQUE;FFD400;1
F23;VILLA PADRE HURTADO ; MALL PLAZA TOBALABA;FFD400;1
F24;CASAS VIEJAS ;  (M) ELISA CORREA;FFD400;1
F25;BAJOS DE MENA ; (M) BELLAVISTA DE LA FLORIDA;FFD400;1
F25e;BAJOS DE MENA ; (M) BELLAVISTA DE LA FLORIDA;FFD400;1
F26;VILLA PADRE HURTADO ; SAN CARLOS ORIENTE;FFD400;1
F27;VILLA PADRE HURTADO ; VILLA PORTEZUELO ORIENTE;FFD400;1
F28N;LA PRIMAVERA ; DIEGO PORTALES;FFD400;1
F30N;BAJOS DE MENA ; LA MONEDA;FFD400;1
G01;VILLA 4 DE SEPTIEMBRE ; SANTO TOMáS;0067AC;1
G01c;VILLA 4 DE SEPTIEMBRE ; SANTA ROSA P. 21;0067AC;1
G02;PLAZA SAN BERNARDO ; PUENTE LOS MORROS;0067AC;1
G04;(M) LA CISTERNA ; SANTO TOMáS;0067AC;1
G05;EL CASTILLO ; (M) LA CISTERNA;0067AC;1
G07;SAN FRANCISCO ; LO HERRERA;0067AC;1
G08;POBLACIóN LA SELVA ; (M) LA CISTERNA;0067AC;1
G08v;NOS ; (M) LA CISTERNA;0067AC;1
G09;LO BLANCO ; SANTA MARGARITA;0067AC;1
G11;LO BLANCO ; (M) LO OVALLE;0067AC;1
G12;(M) LO OVALLE ; CEMENTERIO METROPOLITANO;0067AC;1
G13;(M) LA CISTERNA ; EL CASTILLO;0067AC;1
G14;LO BLANCO ; POBLACIóN VALLE NEVADO;0067AC;1
G15;(M) LA CISTERNA ; SANTO TOMáS;0067AC;1
G16;(M) LA CISTERNA ; LO BLANCO;0067AC;1
G18;SANTO TOMAS ; (M) LO OVALLE;0067AC;1
G22;VILLA ESPAñA ; (M) LA CISTERNA;0067AC;1
H02;(M) CARLOS VALDOVINOS ; (M) LO VIAL ;00B33C;1
H03;(M) LO OVALLE ; MALL PLAZA OESTE;00B33C;1
H04;(M) CARLOS VALDOVINOS  ;  LA VICTORIA;00B33C;1
H05;(M) CARLOS VALDOVINOS ; POBL. DAVILA;00B33C;1
H05c;POBL. DAVILA ; (M) DEPARTAMENTAL;00B33C;1
H06;POBL. LAS TURBINAS ; AV. MATTA;00B33C;1
H07;(M) ÑUBLE  ; (M) LO OVALLE;00B33C;1
H08;POBL.  LAS TURBINAS ; (M) LO OVALLE;00B33C;1
H09;POBL. DAVILA ; (M) CARLOS VALDOVINOS;00B33C;1
H12;LO ESPEJO ; (M) FRANKLIN;00B33C;1
H13;SANTA OLGA ; POSTA CENTRAL;00B33C;1
H14;MALL FLORIDA CENTER ; (M) FRANKLIN;00B33C;1
I01;VILLA LOS HéROES ; HOSPITAL BORJA ARRIARáN;00B33C;1
I02;RINCONADA ; (M) LAGUNA SUR;00B33C;1
