stop_code;stop_name;stop_lat;stop_lon
PB36;PB36 - Av. La Palmilla / Av. Dorsal;-33.39719962;-70.66624062
PB37;PB37 - Hinojosa / Av. Dorsal;-33.39658815;-70.66237
PB38;PB38 - El Guanaco / Av. Dorsal;-33.39591833;-70.65799537
PB40;PB40 - Card. José M. Caro / Av. Dorsal;-33.39548029;-70.653775
PB41;PB41 - Evaristo Lillo / Av. Dorsal;-33.39565345;-70.65056111
PB42;PB42 - Lemuria / Av. Dorsal;-33.39579761;-70.64836261
PB43;PB43 - Rubén Darío / Av. Dorsal;-33.39621882;-70.64526438
PB44;PB44 - Parada 3 / (M) Dorsal;-33.39688088;-70.64345794
PB45;PB45 - María Del Pilar / Pedro Donoso;-33.39808458;-70.63833434
PB46;PB46 - Las Violetas / Pedro Donoso;-33.39884158;-70.635074
PB47;PB47 - Gac Ovalle / Pedro Donoso;-33.39987166;-70.6304
PB48;PB48 - Av. Las Torres / Reina De Chile;-33.40221668;-70.628626
PB49;PB49 - Víctor Cuccuini / Reina De Chile;-33.40379934;-70.62657015
PB50;PB50 - Las Canteras / Reina De Chile;-33.40601178;-70.62354711
PJ180;PJ180 - Esc. Inglaterra;-33.44081173;-70.70442097
PJ133;PJ133 - Parada 1 / Radal - San Pablo;-33.44034245;-70.702662
PJ1738;PJ1738 - Santo Domingo / Radal;-33.44184245;-70.702553
PJ978;PJ978 - Catedral / Radal;-33.44382745;-70.702632
PJ979;PJ979 - Nva. Imperial / Radal;-33.44542845;-70.702683
PJ33;PJ33 - Porto Seguro / Radal;-33.44793845;-70.702751
PI1678;PI1678 - Avenida Dorsal Esq.  /  Av. Dorsal;-33.44939389;-70.70679185
PI2;PI2 - Parada 1 / 5 De Abril - Las Rejas;-33.46411241;-70.705116
PI49;PI49 - Quitralco / Av. Las Rejas;-33.46722541;-70.704836
PI50;PI50 - Colu / Av. Las Rejas;-33.47127055;-70.7044088
PI51;PI51 - Mailef / Av. Las Rejas;-33.47562844;-70.703206
PI53;PI53 - Tucapel / Suiza;-33.48253954;-70.69729
PI1375;PI1375 - Parada 3 / Departamental - Pac;-33.48384242;-70.69468066
PI55;PI55 - Avenida 7 / Av. Departamental;-33.48465664;-70.691686
PI56;PI56 - Gral. Velásquez / Av. Departamental;-33.4847297;-70.688417
PH2;PH2 - Haití / Av. Departamental;-33.48799877;-70.684381
PH3;PH3 - Ranquil / Av. Departamental;-33.49153885;-70.68018
PH4;PH4 - Clotario Blest / Av. Departamental;-33.49392989;-70.676843
PH5;PH5 - F. Mendelssohn / Av. Departamental;-33.49603358;-70.67402976
PH6;PH6 - Club Hípico / Av. Departamental;-33.49746922;-70.67206873
PH1454;PH1454 - Alcibiades / Av. Departamental;-33.49917097;-70.66967304
PH7;PH7 - Av. José J. Prieto / Av. Departamental;-33.50027343;-70.6669656
PH8;PH8 - Quinta Transversal / Av. Departamental;-33.50093121;-70.66439998
PH9;PH9 - 3ª Transversal / Av. Departamental;-33.50194817;-70.66061
PH10;PH10 - 1ª Transversal / Av. Departamental;-33.50264421;-70.658064
PH11;PH11 - Parada 4 / (M) Departamental;-33.50341425;-70.655678
PH12;PH12 - Chiloé / Av. Departamental;-33.50446096;-70.65135478
PH13;PH13 - Miguel Cerda / Av. Departamental;-33.50508737;-70.648514
PH14;PH14 - San Mauricio / Av. Departamental;-33.50580542;-70.645323
PH15;PH15 - Río De Janeiro / Av. Departamental;-33.50672783;-70.64108978
PH16;PH16 - Parada 6 / Departamental - Santa Rosa;-33.50712451;-70.639463
PH17;PH17 - Infocap;-33.50715857;-70.635527
PH18;PH18 - Juan Planas / Av. Departamental;-33.5071296;-70.633644
PH19;PH19 - Benozzo Gozzoli / Av. Departamental;-33.50743333;-70.62915561
PH1456;PH1456 - Av. Las Industrias / Av. Departamental;-33.50759871;-70.626742
PH1491;PH1491 - Vecinal Norte / Av. Departamental;-33.50782876;-70.623339
PH21;PH21 - Av. Haydn / Av. Departamental;-33.50795348;-70.62131082
PH22;PH22 - Persa Departamental;-33.50800784;-70.618469
PE1;PE1 - Parada 4 / (M) Pedrero;-33.50843792;-70.612778
PE2;PE2 - E. Fernández / Av. Departamental;-33.50892504;-70.60489
PE3;PE3 - Buenaventura / Av. Departamental;-33.50921811;-70.600583
PE4;PE4 - Nueva 1 / Av. Departamental;-33.50940914;-70.598367
PE5;PE5 - Av. Vespucio / Av. Departamental;-33.5096962;-70.594354
PE1292;PE1292 - Av. La Florida / Av. Departamental;-33.51021631;-70.586627
PE7;PE7 - Cds La Florida;-33.51424312;-70.58547294
